INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [2: 900/1125]  train_loss=2.579  val_loss=9.478
INFO:Train: [2: 925/1125]  train_loss=9.278  val_loss=9.476
INFO:Train: [2: 950/1125]  train_loss=2.357  val_loss=9.474
INFO:Train: [2: 975/1125]  train_loss=3.762  val_loss=9.473
INFO:Train: [2: 1000/1125]  train_loss=4.937  val_loss=9.471
INFO:Train: [2: 1025/1125]  train_loss=2.144  val_loss=9.469
INFO:Train: [2: 1050/1125]  train_loss=2.586  val_loss=9.469
INFO:Train: [2: 1075/1125]  train_loss=10.23  val_loss=9.468
INFO:Train: [2: 1100/1125]  train_loss=5.345  val_loss=9.467
INFO:Train: [2: 1125/1125]  train_loss=7.117  val_loss=9.466
INFO:Train: [2: 1125/1125]  train_loss=4572  val_loss=9.466
INFO:Train: [3: 25/1125]  train_loss=4.159  val_loss=9.465
INFO:Train: [3: 50/1125]  train_loss=7.917  val_loss=9.467
INFO:Train: [3: 75/1125]  train_loss=6.228  val_loss=9.466
INFO:Train: [3: 100/1125]  train_loss=3.99  val_loss=9.466
INFO:Train: [3: 125/1125]  train_loss=6.844  val_loss=9.466
INFO:Train: [3: 150/1125]  train_loss=4.604  val_loss=9.465
INFO:Train: [3: 175/1125]  train_loss=3.855  val_loss=9.464
INFO:Train: [3: 200/1125]  train_loss=9.867  val_loss=9.463
INFO:Train: [3: 225/1125]  train_loss=2.802  val_loss=9.414
INFO:Train: [3: 250/1125]  train_loss=3.311  val_loss=9.409
INFO:Train: [3: 275/1125]  train_loss=17.7  val_loss=9.408
INFO:Train: [3: 300/1125]  train_loss=2.255  val_loss=9.407
INFO:Train: [3: 325/1125]  train_loss=4.654  val_loss=9.407
INFO:Train: [3: 350/1125]  train_loss=8.497  val_loss=9.406
INFO:Train: [3: 375/1125]  train_loss=10.21  val_loss=9.405
INFO:Train: [3: 400/1125]  train_loss=5.424  val_loss=9.404
INFO:Train: [3: 425/1125]  train_loss=30.17  val_loss=9.404
INFO:Train: [3: 450/1125]  train_loss=13.33  val_loss=9.77
INFO:Train: [3: 475/1125]  train_loss=3.041  val_loss=9.085
INFO:Train: [3: 500/1125]  train_loss=12.43  val_loss=9.03
INFO:Train: [3: 525/1125]  train_loss=10.8  val_loss=9.022
INFO:Train: [3: 550/1125]  train_loss=886.2  val_loss=9.017
INFO:Train: [3: 575/1125]  train_loss=6.944  val_loss=8.987
INFO:Train: [3: 600/1125]  train_loss=7.935  val_loss=8.983
INFO:Train: [3: 625/1125]  train_loss=5.002  val_loss=8.982
